region,year,gwh
China,2010,0.2397
China,2011,0.2446
China,2012,3.22
China,2013,3.983
China,2014,6.515
China,2015,20.96
China,2016,36.62
China,2017,51.9
China,2018,68.0
China,2019,77.9
China,2020,85.3
China,2021,182.9
China,2022,318.2
China,2023,432.6
China,2024,568.6
Europe,2010,0.1293
Europe,2011,0.44830000000000003
Europe,2012,0.9419
Europe,2013,1.6233
Europe,2014,2.7758
Europe,2015,4.1231
Europe,2016,5.1962
Europe,2017,8.1193
Europe,2018,12.229
Europe,2019,24.946
Europe,2020,53.62
Europe,2021,91.84
Europe,2022,127.91
Europe,2023,173.71
Europe,2024,182.8
India,2010,0.1245
India,2011,0.104
India,2012,0.5619000000000001
India,2013,0.6441
India,2014,0.78
India,2015,0.0505
India,2016,0.1683
India,2017,0.311
India,2018,0.492
India,2019,0.647
India,2020,1.031
India,2021,1.7
India,2022,4.983
India,2023,7.7598
India,2024,11.14
Rest of the world,2010,0.0708
Rest of the world,2011,0.38273999999999997
Rest of the world,2012,0.8412999999999999
Rest of the world,2013,1.0308
Rest of the world,2014,1.1668
Rest of the world,2015,1.2908
Rest of the world,2016,2.15
Rest of the world,2017,3.561
Rest of the world,2018,7.9947
Rest of the world,2019,9.69
Rest of the world,2020,11.094
Rest of the world,2021,20.288
Rest of the world,2022,36.58
Rest of the world,2023,58.96
Rest of the world,2024,75.94
USA,2010,0.0533
USA,2011,0.5253
USA,2012,1.1264
USA,2013,2.734
USA,2014,3.4528
USA,2015,3.6852
USA,2016,6.0651
USA,2017,7.6528
USA,2018,19.1384
USA,2019,19.219
USA,2020,18.194
USA,2021,38.1788
USA,2022,70.039
USA,2023,98.483
USA,2024,115.932
