Mineral,Country,Production_2024_mt,World_Total,Market_Share_Pct
Lithium (Li),Argentina,18000.0,235380.0,7.65
Lithium (Li),Australia,88000.0,235380.0,37.39
Lithium (Li),Brazil,10000.0,235380.0,4.25
Lithium (Li),Canada,4300.0,235380.0,1.83
Lithium (Li),Chile,49000.0,235380.0,20.82
Lithium (Li),China,41000.0,235380.0,17.42
Lithium (Li),Namibia,2700.0,235380.0,1.15
Lithium (Li),Portugal,380.0,235380.0,0.16
Lithium (Li),Zimbabwe,22000.0,235380.0,9.35
"Rare Earths (La, Y)",United States,45000.0,392850.0,11.45
"Rare Earths (La, Y)",Australia,13000.0,392850.0,3.31
"Rare Earths (La, Y)",Brazil,20.0,392850.0,0.01
"Rare Earths (La, Y)",Myanmar,31000.0,392850.0,7.89
"Rare Earths (La, Y)",China,270000.0,392850.0,68.73
"Rare Earths (La, Y)",India,2900.0,392850.0,0.74
"Rare Earths (La, Y)",Madagascar,2000.0,392850.0,0.51
"Rare Earths (La, Y)",Malaysia,130.0,392850.0,0.03
"Rare Earths (La, Y)",Nigeria,13000.0,392850.0,3.31
"Rare Earths (La, Y)",Russia,2500.0,392850.0,0.64
"Rare Earths (La, Y)",Thailand,13000.0,392850.0,3.31
"Rare Earths (La, Y)",Vietnam,300.0,392850.0,0.08
Sulfur (S),United States,8200.0,78800.0,10.41
Sulfur (S),Australia,900.0,78800.0,1.14
Sulfur (S),Canada,5000.0,78800.0,6.35
Sulfur (S),Chile,1300.0,78800.0,1.65
Sulfur (S),China,19000.0,78800.0,24.11
Sulfur (S),India,3700.0,78800.0,4.7
Sulfur (S),Iran,2000.0,78800.0,2.54
Sulfur (S),Japan,3100.0,78800.0,3.93
Sulfur (S),Kazakhstan,5100.0,78800.0,6.47
Sulfur (S),South Korea,3100.0,78800.0,3.93
Sulfur (S),Kuwait,1300.0,78800.0,1.65
Sulfur (S),Poland,1100.0,78800.0,1.4
Sulfur (S),Qatar,3100.0,78800.0,3.93
Sulfur (S),Russia,7500.0,78800.0,9.52
Sulfur (S),Saudi Arabia,7500.0,78800.0,9.52
Sulfur (S),Turkmenistan,900.0,78800.0,1.14
Sulfur (S),United Arab Emirates,6000.0,78800.0,7.61
Phosphate (P),United States,20000.0,237960.0,8.4
Phosphate (P),Algeria,2000.0,237960.0,0.84
Phosphate (P),Australia,2500.0,237960.0,1.05
Phosphate (P),Brazil,5300.0,237960.0,2.23
Phosphate (P),China,110000.0,237960.0,46.23
Phosphate (P),Egypt,5000.0,237960.0,2.1
Phosphate (P),Finland,900.0,237960.0,0.38
Phosphate (P),India,1600.0,237960.0,0.67
Phosphate (P),Israel,2300.0,237960.0,0.97
Phosphate (P),Jordan,12000.0,237960.0,5.04
Phosphate (P),Kazakhstan,1700.0,237960.0,0.71
Phosphate (P),Mexico,360.0,237960.0,0.15
Phosphate (P),Morocco,30000.0,237960.0,12.61
Phosphate (P),Peru,5000.0,237960.0,2.1
Phosphate (P),Russia,14000.0,237960.0,5.88
Phosphate (P),Saudi Arabia,9500.0,237960.0,3.99
Phosphate (P),Senegal,2500.0,237960.0,1.05
Phosphate (P),South Africa,2200.0,237960.0,0.92
Phosphate (P),Syria,2000.0,237960.0,0.84
Phosphate (P),Togo,1500.0,237960.0,0.63
Phosphate (P),Tunisia,3300.0,237960.0,1.39
Phosphate (P),Turkey,800.0,237960.0,0.34
Phosphate (P),Uzbekistan,900.0,237960.0,0.38
Phosphate (P),Vietnam,2600.0,237960.0,1.09
Zirconium (Zr),United States,100.0,1385.0,7.22
Zirconium (Zr),Australia,500.0,1385.0,36.1
Zirconium (Zr),China,100.0,1385.0,7.22
Zirconium (Zr),Indonesia,95.0,1385.0,6.86
Zirconium (Zr),Kenya,20.0,1385.0,1.44
Zirconium (Zr),Madagascar,30.0,1385.0,2.17
Zirconium (Zr),Mozambique,160.0,1385.0,11.55
Zirconium (Zr),Senegal,60.0,1385.0,4.33
Zirconium (Zr),Sierra Leone,20.0,1385.0,1.44
Zirconium (Zr),South Africa,300.0,1385.0,21.66
