material,year,unit_value
Lithium (Li),2012,4220.0
Lithium (Li),2013,4390.0
Lithium (Li),2014,4510.0
Lithium (Li),2015,4540.0
Lithium (Li),2016,4920.0
Lithium (Li),2017,4900.0
Lithium (Li),2018,7300.0
Lithium (Li),2019,8030.0
Lithium (Li),2020,6400.0
Lithium (Li),2021,6200.0
Phosphate (P),2012,100.4
Phosphate (P),2013,93.8
Phosphate (P),2014,81.9
Phosphate (P),2015,76.2
Phosphate (P),2016,81.2
Phosphate (P),2017,75.9
Phosphate (P),2018,69.6
Phosphate (P),2019,68.3
Phosphate (P),2020,75.4
Phosphate (P),2021,82.7
Phosphate (P),2022,102.6
Sulfur (S),2012,124.0
Sulfur (S),2013,68.7
Sulfur (S),2014,80.1
Sulfur (S),2015,87.6
Sulfur (S),2016,37.9
Sulfur (S),2017,46.4
Sulfur (S),2018,81.2
Sulfur (S),2019,51.1
Sulfur (S),2020,24.6
Sulfur (S),2021,90.9
Sulfur (S),2022,178.0
"Rare Earths (La, Y)",2012,51200.0
"Rare Earths (La, Y)",2013,19100.0
"Rare Earths (La, Y)",2014,15200.0
"Rare Earths (La, Y)",2015,14800.0
"Rare Earths (La, Y)",2016,10600.0
"Rare Earths (La, Y)",2017,11500.0
"Rare Earths (La, Y)",2018,8860.0
"Rare Earths (La, Y)",2019,6080.0
"Rare Earths (La, Y)",2020,5130.0
Zirconium (Zr),2012,2650.0
Zirconium (Zr),2013,1050.0
Zirconium (Zr),2014,1050.0
Zirconium (Zr),2015,1030.0
Zirconium (Zr),2016,1030.0
Zirconium (Zr),2017,1010.0
Zirconium (Zr),2018,1290.0
Zirconium (Zr),2019,1490.0
Zirconium (Zr),2020,1400.0
Zirconium (Zr),2021,1450.0
